Data,Consumidores,Consumo,Dias
2004-01-01,506754.0,12008851.66,31
2004-02-01,505851.14,12141416.570000002,29
2004-03-01,506597.49,12608412.95,31
2004-04-01,506667.0,12887290.730999997,30
2004-05-01,504740.0,12832711.92,31
2004-06-01,505358.0,13107635.62,30
2004-07-01,504425.0,13306806.95,31
2004-08-01,504620.0,13592340.78,31
2004-09-01,506280.0,13460814.76,30
2004-10-01,508020.0,13534732.69,31
2004-11-01,515833.0,13447776.849999998,30
2004-12-01,504632.0,13391883.9,31
2005-01-01,506636.01,12650753.121,31
2005-02-01,505406.0,12746539.930000002,28
2005-03-01,505849.0,13065261.409000002,31
2005-04-01,506025.0,13373988.88,30
2005-05-01,506475.01,13292319.64,31
2005-06-01,514126.01,13140406.11,30
2005-07-01,507886.01,13430445.96,31
2005-08-01,507753.0,13754712.569000002,31
2005-09-01,508863.01,13700582.89,30
2005-10-01,509084.01,13512368.21,31
2005-11-01,514747.01,13445263.86,30
2005-12-01,510611.01,13549853.97,31
2006-01-01,510093.01,12851400.65,31
2006-02-01,510035.01,13044331.429999998,28
2006-03-01,509446.0,13382327.230000002,31
2006-04-01,509251.0,13531807.800000004,30
2006-05-01,509786.0,13406753.940000003,31
2006-06-01,510131.0,13568688.31,30
2006-07-01,511583.0,13696551.079999998,31
2006-08-01,510405.0,14164040.26,31
2006-09-01,510771.0,13825482.349,30
2006-10-01,513844.0,13952616.28,31
2006-11-01,514770.01,13989838.23,30
2006-12-01,515618.0,13766563.27,31
2007-01-01,510577.0,13592121.0,31
2007-02-01,512827.0,13683634.0,28
2007-03-01,513897.0,14276498.0,31
2007-04-01,512217.0,14511123.0,30
2007-05-01,512393.0,14557756.0,31
2007-06-01,513270.0,14582312.0,30
2007-07-01,514246.0,14569203.0,31
2007-08-01,515352.0,14860003.0,31
2007-09-01,516663.0,14866278.0,30
2007-10-01,519708.0,14952079.0,31
2007-11-01,520516.0,15025144.0,30
2007-12-01,525504.0,14892623.0,31
2008-01-01,527333.0,13793348.41,31
2008-02-01,530567.0,13966620.44,29
2008-03-01,533744.0,14654557.99,31
2008-04-01,535124.0,14525048.65,30
2008-05-01,534865.0,14791423.05,31
2008-06-01,531143.0,14780520.02,30
2008-07-01,531802.0,15154269.38,31
2008-08-01,524908.0,15411789.96,31
2008-09-01,524672.0,15180074.2,30
2008-10-01,526183.0,15386185.34,31
2008-11-01,526513.0,14773048.09,30
2008-12-01,528236.0,13417172.88,31
2009-01-01,527976.0,11923919.6,31
2009-02-01,525411.0,12337342.7,28
2009-03-01,529596.0,13049482.5,31
2009-04-01,529975.0,13199596.3,30
2009-05-01,529559.0,12976380.6,31
2009-06-01,530757.0,13216790.5,30
2009-07-01,532511.0,13610773.0,31
2009-08-01,532521.0,14061451.1,31
2009-09-01,535017.0,14227326.1,30
2009-10-01,535864.0,14551750.4,31
2009-11-01,537033.0,14415203.6,30
2009-12-01,536545.0,14228645.1,31
2010-01-01,539268.0,13424547.3,31
2010-02-01,534711.0,14077520.0,28
2010-03-01,543851.0,14765879.0,31
2010-04-01,542278.0,14921086.0,30
2010-05-01,542475.0,15025175.0,31
2010-06-01,544489.0,15179562.0,30
2010-07-01,544848.0,15303363.0,31
2010-08-01,546430.0,15456385.0,31
2010-09-01,548116.0,15405246.0,30
2010-10-01,547577.0,15434091.0,31
2010-11-01,554771.0,15316639.0,30
2010-12-01,553589.0,15168814.0,31
2011-01-01,554106.0,14467186.0,31
2011-02-01,554648.0,14486700.0,28
2011-03-01,555803.0,15188345.0,31
2011-04-01,557055.0,15334508.0,30
2011-05-01,560673.0,15254580.0,31
2011-06-01,562095.0,15387057.0,30
2011-07-01,561513.0,15435674.0,31
2011-08-01,556355.0,15853166.0,31
2011-09-01,551283.0,15731400.0,30
2011-10-01,556386.0,15670618.0,31
2011-11-01,557724.0,15484260.0,30
2011-12-01,557723.0,15282054.0,31
2012-01-01,558335.0,14567024.83,31
2012-02-01,558678.0,15059392.8,29
2012-03-01,560435.0,15578758.26,31
2012-04-01,560435.0,15530108.67,30
2012-05-01,562371.0,15264201.98,31
2012-06-01,562959.0,15158827.94,30
2012-07-01,564301.0,15213922.01,31
2012-08-01,566533.0,15627847.52,31
2012-09-01,568261.0,15573061.45,30
2012-10-01,570156.0,15547743.69,31
2012-11-01,571079.0,15470109.08,30
2012-12-01,572821.0,14833841.01,31
2013-01-01,573509.0,14369522.0,31
2013-02-01,574336.0,14790315.0,28
2013-03-01,575751.0,15148031.0,31
2013-04-01,576614.0,15592240.0,30
2013-05-01,578155.0,15569364.0,31
2013-06-01,578454.0,15326058.0,30
2013-07-01,579726.0,15490485.0,31
2013-08-01,580845.0,15886314.0,31
2013-09-01,582088.0,15593707.0,30
2013-10-01,583641.0,15786696.0,31
2013-11-01,584477.0,15810386.0,30
2013-12-01,584467.0,15321439.0,31
2014-01-01,584673.0,14536786.0,31
2014-02-01,584936.0,15107351.0,28
2014-03-01,584275.0,15079279.0,31
2014-04-01,583500.0,15260191.0,30
2014-05-01,583946.0,14942728.0,31
2014-06-01,583855.0,14683417.88,30
2014-07-01,583134.0,14553691.0,31
2014-08-01,582448.0,15134355.0,31
2014-09-01,582809.0,14974874.0,30
2014-10-01,581501.0,14929347.0,31
2014-11-01,574598.0,15255761.0,30
2014-12-01,573702.0,14647897.0,31
2015-01-01,572383.0,13756016.06,31
2015-02-01,572906.0,14444648.6,28
2015-03-01,571863.0,14590191.029999996,31
2015-04-01,571420.0,14639019.29,30
2015-05-01,570299.0,14330169.330000002,31
2015-06-01,562677.0,14175989.24,30
2015-07-01,559093.0,13953417.76,31
2015-08-01,555713.0,14285951.19,31
2015-09-01,555972.0,14001917.25,30
2015-10-01,553574.0,14117164.18,31
2015-11-01,550339.0,13873560.920000002,30
2015-12-01,548572.0,13394734.77,31
2016-01-01,548470.0,12620503.07,31
2016-02-01,548496.0,13495854.66,29
2016-03-01,544776.0,13928284.39,31
2016-04-01,543968.0,13976228.3,30
2016-05-01,543176.0,13940450.480000002,31
2016-06-01,542353.0,13881894.73,30
2016-07-01,541209.0,14082179.090000002,31
2016-08-01,540566.0,14235233.94,31
2016-09-01,538937.0,14058185.1,30
2016-10-01,538130.0,13937588.13,31
2016-11-01,537102.0,13917259.67,30
2016-12-01,535832.0,13529228.64,31
2017-01-01,532772.0,13155124.28,31
2017-02-01,531641.0,13456486.41,28
2017-03-01,530860.0,13894142.36,31
2017-04-01,529810.0,14143294.26,30
2017-05-01,530089.0,13625040.76,31
2017-06-01,528457.0,13985231.830000002,30
2017-07-01,527478.0,14128124.99,31
2017-08-01,526777.0,14301869.27,31
2017-09-01,526846.0,14274854.49,30
2017-10-01,528627.0,14223004.34,31
2017-11-01,529411.0,14370529.86,30
2017-12-01,528453.0,14153383.86,31
2018-01-01,527369.0,13881104.98,31
2018-02-01,527730.0,13524631.47,28
2018-03-01,525795.0,14697212.14,31
2018-04-01,524742.0,14347670.53,30
2018-05-01,523621.0,13810459.719999995,31
2018-06-01,523028.0,13744905.790000005,30
2018-07-01,522422.0,14486144.429999998,31
2018-08-01,521574.0,14671324.68,31
2018-09-01,520366.0,14123676.279999996,30
2018-10-01,519783.0,14625986.85,31
2018-11-01,519161.0,14372096.29,30
2018-12-01,518551.0,13759590.130000005,31
2019-01-01,518207.0,13889817.25,31
2019-02-01,516844.0,13538872.73,28
2019-03-01,516323.0,14043832.55,31
2019-04-01,516296.0,13898970.23,30
2019-05-01,480790.0,14197964.52,31
2019-06-01,473940.0,13823701.9,30
2019-07-01,473889.0,14095510.980000002,31
2019-08-01,474306.0,14185564.259999998,31
2019-09-01,472970.0,13864882.690000003,30
2019-10-01,473761.0,14398543.420000004,31
2019-11-01,472464.0,14156484.830000002,30
2019-12-01,472174.0,13594397.89,31
2020-01-01,472262.0,13520001.7,31
2020-02-01,472002.0,13888841.64,29
2020-03-01,470546.0,14117706.609,31
2020-04-01,469163.0,12158054.25,30
2020-05-01,468059.0,12305456.88,31
2020-06-01,467633.0,12541041.489999996,30
2020-07-01,467745.0,13901645.268999998,31
2020-08-01,469053.0,14529301.88,31
2020-09-01,469881.0,14643710.699999996,30
2020-10-01,469297.0,15285765.36,31
2020-11-01,470348.0,14782456.8799,30
2020-12-01,469485.0,14658610.82,31
2021-01-01,471294.0,14627210.140000002,31
2021-02-01,464237.0,14345594.46,28
2021-03-01,466630.0,15548908.55,31
2021-04-01,467579.0,15210342.111000003,30
2021-05-01,469523.0,15093947.660000002,31
2021-06-01,470675.0,15006590.820000004,30
2021-07-01,471808.0,15260400.861,31
2021-08-01,472240.0,15387067.809,31
2021-09-01,472401.83,15161308.969999995,30
2021-10-01,471893.0,15552243.61,31
2021-11-01,472485.99,15348510.771,30
2021-12-01,472519.0,15076760.83,31
